"Accession name"	"PI (no.)"	"MUNQ (no.)z"	"Ploidy"	"Ma1"	"Q8"	"TA (g·L-1)"	"pH"	"Date(s) harvested"	"SPI"	"Region of origin"	"PLANTID.x"	"ACP"	"apple_id"	"PLANTID.y"	"ACCID"	"origin"	"species"	"use"	"country"	"world"	"release_year"	"acidity_16_stor"	"brix_16_stor"	"weight_avg_16_stor"	"firmness_avg_16_stor"	"brix_acid_16_stor"	"acidity_16_harv"	"juiciness_16_harv"	"date_jul_16_harv"	"weight_avg_16_harv"	"brix_avg_16_harv"	"firmness_avg_16_harv"	"flowering_jul_16_harv"	"precocity_16_harv"	"brix_acid_16_harv"	"time_ripen_16_harv"	"percent_acidity_16"	"percent_brix_16"	"percent_weight_16"	"percent_firmness_avg_16"	"percent_brix_acid_16"	"acidity_17_stor"	"brix_17_stor"	"weight_avg_17_stor"	"firmness_avg_17_stor"	"brix_acid_17_stor"	"brix_17_harv"	"acidity_17_harv"	"date_jul_17_harv"	"firmness_avg_17_harv"	"weight_avg_17_harv"	"brix_acid_17_harv"	"percent_acidity_17"	"percent_brix_17"	"percent_weight_avg_17"	"percent_firmness_avg_17"	"percent_brix_acid_17"	"tpc"	"frap"	"time_ripen_2017"
"Frequin Tardive de la Sarthe"	589689	"367"	2	"mama"	"Q8Q8"	2.07	4.4	"26 Oct. 2017, 24 Oct. 2019"	"7.6"	"France"	"Frequin Tardive de la Sarthe"	"PI"	794	"Frequin Tardive de la Sarthe"	"19007"	"USDA"	"domestica"	"cider"	"France"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"153.717947054131"	"0.95766480750749405"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Pomme Thoury"	162548	"4184"	2	"mama"	"Q8Q8"	2.08	4.2	"21 Sept. 2017, 16 Sept. 2018, 24 Oct. 2019"	"7.6"	"France"	"Pomme Thoury"	"PI"	945	"Pomme Thoury"	"140133"	"USDA"	"domestica"	"cider"	"France"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"2.71818963284997"	"8.4898259852564504"	"306.09709389731302"	"130.130795393906"	"15.633183713867799"	"8.3322364886517093"	"160.76687070771399"	"2.5449066225375101"	"5.4558386554526699"	"145.535857653574"	"NA"	"NA"	"NA"	"NA"	"NA"	"1.8224"	"12.4"	"81.042000000000002"	"8.8596000000000004"	"6.8042142230026297"	"11.5114034680982"	"3.3865340050851001"	"269.16471943561402"	"11.622083564158901"	"101.99806778832"	"3.4520395571395901"	"-46.1868684246623"	"7.7192718886483904"	"-20.545553697949298"	"-23.769262618951299"	"97.107075697611606"	"NA"	"NA"	"108.324202268528"
"Twistbody Jersey"	175551	"2561"	2	"mama"	"Q8Q8"	2.08	4.4	"15 Sept. 2017, 18 Sept. 2019"	"7.8"	"England"	"Twistbody Jersey"	"PI"	1130	"Twistbody Jersey"	"152079"	"USDA"	"domestica"	"cider"	"United Kingdom"	"old"	"NA"	"2.0367999999999999"	"13"	"87.376000000000005"	"8.5503999999999998"	"6.3825608798114697"	"2.8126419184031399"	"19.878054618427299"	"277.16318264765903"	"104.196650938468"	"12.231937072171"	"7.72632349292304"	"159.17905308507099"	"1.4671282547401301"	"4.5916117468005098"	"118.14057703232"	"-27.584098541901099"	"6.2791602286478998"	"-16.143178103105502"	"10.665829716187501"	"39.004803362542901"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"5.69639615770883"	"5.7704842268991801"	"NA"
"Belle de Crollon"	162544	"4625"	2	"mama"	"Q8Q8"	2.09	4.2	"06 Oct. 2017, 05 Oct. 2018, 24 Oct. 2019"	"7.9"	"France"	"Belle de Crollon"	"PI"	429	"Belle de Crollon"	"140130"	"USDA"	"domestica"	"cider"	"France"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"153.538764819112"	"0.98958943738552596"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Fillbarrel"	589679	"2592"	2	"mama"	"Q8Q8"	2.16	4.2	"29 Sept. 2017, 30 Oct. 2019"	"7.9"	"England"	"Fillbarrel"	"PI"	776	"Fillbarrel"	"18919"	"USDA"	"domestica"	"cider"	"United Kingdom"	"old"	"NA"	"NA"	"NA"	"87.419416666666706"	"5.0923166666666697"	"NA"	"4.6198692543312898"	"10.9227683139357"	"300.36796174199299"	"115.997457403528"	"14.188933796679301"	"6.7421210285911899"	"154.92290367851001"	"2.26932031625305"	"4.0794517089103897"	"145.462530080997"	"NA"	"NA"	"-24.636782026561999"	"-24.4701089601955"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"7.8635425010943498"	"11.4470077068089"	"NA"
"Frequin Lacaille"	247314	"6644.1"	2	"mama"	"Q8Q8"	2.16	4.4	"21 Sept. 2017, 27 Sept. 2018, 09 Oct. 2019"	"8"	"France"	"Frequin Lacaille"	"PI"	872	"Frequin Lacaille"	"190015"	"USDA"	"domestica"	"cider"	"France"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"152.84851497032"	"1.0449066223966099"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Crow Egg"	589196	"4674"	2	"Mama"	"Q8Q8"	2.18	4	"19 Oct. 2017, 12 Oct. 2018"	"7.3"	"North America"	"Crow Egg"	"PI"	396	"Crow Egg"	"11389"	"USDA"	"domestica"	"cider"	"United States"	"new"	"NA"	"NA"	"NA"	"115.293333333333"	"4.1246666666666698"	"NA"	"4.08341157060363"	"12.328420655445401"	"306.82555616783901"	"118.646077859706"	"12.7627172308409"	"7.1340274594769202"	"151.45733731030001"	"1.71483064325775"	"3.1099584240710301"	"155.033816021777"	"NA"	"NA"	"-2.8258367970136198"	"-42.1831960965132"	"NA"	"2.4790000000000001"	"11.5"	"85.006"	"3.9670000000000001"	"4.6389673255344901"	"10.9467306232319"	"4.7062078712406201"	"274.27920577414199"	"7.8834336825079001"	"86.386100182023199"	"2.16798763280062"	"-47.324893676094597"	"5.0541974203139102"	"-1.59759519079482"	"-49.679287481010299"	"113.975728244439"	"3.9417504309032498"	"4.1180403246908197"	"124.201207998917"
"White Jersey"	175553	"2568"	2	"mama"	"Q8Q8"	2.21	4.5	"21 Sept. 2017, 07 Sept. 2018, 09 Oct. 2019"	"7.1"	"England"	"White Jersey"	"PI"	1156	"White Jersey"	"152081"	"USDA"	"domestica"	"cider"	"United Kingdom"	"old"	"NA"	"3.1356000000000002"	"13.1"	"62.923000000000002"	"3.5265"	"4.1778288046944798"	"1.7126419184031501"	"10.412184677846"	"282.60460487466003"	"69.415330960930902"	"11.3824189905193"	"4.1292329585210696"	"157.07875203539399"	"1.98884662091363"	"6.9828154505042397"	"125.368035471844"	"83.085557249678999"	"15.0897714353277"	"-9.3528776295613802"	"-14.5967293338893"	"-40.169852199189997"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"5.5113804313980301"	"5.1169938215743196"	"NA"
"Launette"	162732	"n/a"	2	"mama"	"Q8Q8"	2.28	4.3	"29 Sept. 2017, 27 Sept. 2018, 15 Oct. 2019"	"7.3"	"France"	"Launette"	"PI"	731	"Launette"	"140215"	"USDA"	"domestica"	"cider"	"France"	"old"	"NA"	"2.7336"	"14.6"	"68.635999999999996"	"4.4791999999999996"	"5.3409423470880899"	"3.9829137537091799"	"10.5608926106443"	"289.40168865235597"	"90.055064383486197"	"13.2809429968204"	"6.9157871833675504"	"153.13191469726601"	"2.03008705963369"	"3.3716653193214499"	"134.888961519334"	"-31.366829184933501"	"9.9319529004483798"	"-23.7844084950917"	"-35.232246435048403"	"58.406657875609"	"4.0065999999999997"	"16.399999999999999"	"90.85"	"6.3869999999999996"	"4.09324614386263"	"13.816204214773499"	"3.8364558586382098"	"267.55190134397901"	"8.6507676629024797"	"95.276042800931705"	"3.6840287281085602"	"4.4349302489351299"	"18.701198571338999"	"-4.6454939466571004"	"-26.1684020553495"	"11.1078779769497"	"10.2727647434162"	"13.1225486323562"	"115.458375162225"
"La Paix"	589598	"488"	2	"Mama"	"Q8q8"	2.42	3.9	"15 Sept. 2017, 07 Sept. 2018"	"7.2"	"Central Europe"	"La Paix"	"PI"	814	"La Paix"	"18362"	"USDA"	"domestica"	"dessert"	"Belgium"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"4.4847650336789799"	"9.0608926106443093"	"288.278598620514"	"189.76734334328401"	"13.3981786866453"	"4.3141999015311603"	"156.870499964613"	"1.53245830980607"	"2.8876235301869202"	"131.18378813687701"	"NA"	"NA"	"NA"	"NA"	"NA"	"2.5125000000000002"	"13.2"	"177.398"	"4.18"	"5.4338423792523196"	"13.498234827631499"	"4.2506477107363896"	"260.62227190439802"	"7.2209372024556204"	"168.379251115817"	"2.87593349756599"	"-40.8913612470432"	"-2.2094357628228498"	"5.3562115429409998"	"-42.112777291865797"	"88.941864749347801"	"NA"	"NA"	"103.647989794227"
"Medaille d'Or"	594108	"256"	2	"mama"	"Q8Q8"	2.42	4.3	"29 Sept. 2017, 27 Sept. 2018"	"7.5"	"France"	"Medaille d'Or"	"PI"	207	"Medaille d'Or"	"18993"	"USDA"	"domestica"	"cider"	"France"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Daux Belan"	162062	"4708"	2	"mama"	"Q8Q8"	2.51	4.5	"06 Oct. 2017, 05 Oct. 2018, 24 Oct. 2019"	"6.4"	"France"	"Daux Belan"	"PI"	477	"Daux Belan"	"139795"	"USDA"	"domestica"	"NA"	"France"	"old"	"NA"	"NA"	"11.6"	"56.261000000000003"	"6.2111999999999998"	"NA"	"1.8980359563982501"	"20.1339403018419"	"306.01204707510902"	"71.524732426581707"	"13.080964920233599"	"8.4923229908100595"	"153.077063418775"	"1.9486417578811699"	"6.9465465519790603"	"153.01285877193899"	"NA"	"-11.321526578997601"	"-21.340495670150901"	"-26.861001321765201"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"23.4319573964091"	"26.435785049765101"	"NA"
"Geeveston Fanny"	589123	"4674"	2	"Mama"	"Q8Q8"	2.51	4	"26 Oct. 2017, 05 Oct. 2018"	"7.8"	"Australia"	"Geeveston Fanny"	"PI"	901	"Geeveston Fanny"	"9483"	"USDA"	"domestica"	"cider"	"Australia"	"new"	"NA"	"2.2646000000000002"	"11.7"	"69.775000000000006"	"3.7254"	"5.1664753157290502"	"2.4528277343060401"	"12.8856725701306"	"310.30464390403898"	"99.084002570393196"	"11.6868344633278"	"6.2283656352985801"	"152.33664986193301"	"1.4946189241454699"	"4.4039258941092196"	"157.56443736628299"	"-7.6739076158274804"	"0.112652718009408"	"-29.579954190456601"	"-40.186555861674201"	"17.315219192035698"	"4.0602"	"11.9"	"123.084"	"5.1284000000000001"	"2.93089010393577"	"11.0417738202017"	"8.7433526442326404"	"268.32516848048198"	"8.1753090296655309"	"150.479779817186"	"1.3198010167743699"	"-53.562435770239397"	"7.7725390301702797"	"-18.205621945000502"	"-37.269649607241703"	"122.07060509007199"	"4.8397602118869498"	"5.43471106343753"	"NA"
"Djulabia"	264689	"n/a"	2	"Mama"	"Q8Q8"	2.56	3.8	"21 Sept. 2017, 17 Sept. 2018"	"n/a"	"Central Europe"	"Djulabia"	"PI"	184	"Djulabia"	"200180"	"USDA"	"domestica"	"NA"	"Serbia"	"old"	"NA"	"3.1088"	"13.1"	"114.623"	"3.9260999999999999"	"4.2138445702521903"	"3.7126419184031501"	"11.978054618427301"	"312.592119609951"	"171.696650938468"	"13.031937072171001"	"6.08532349292304"	"155.426088664795"	"1.99647689391939"	"3.6842043393931001"	"158.517602675147"	"-16.264480433999701"	"0.52227790429055698"	"-33.240980896547498"	"-35.482476739882799"	"14.3759732649991"	"3.3231999999999999"	"12.8"	"NA"	"NA"	"3.8517091959557099"	"11.768603631662099"	"5.6410842391438196"	"275.09634361403602"	"9.1975460625424592"	"167.33083350620601"	"2.09027098370353"	"-41.0893392277301"	"8.7639655529144207"	"NA"	"NA"	"84.268414286231604"	"4.6355491459870102"	"4.5882891229878702"	"119.611342887326"
"Hubbardston Nonsuch"	589202	"941"	2	"Mama"	"Q8q8"	2.66	3.8	"27 Sept. 2018"	"5.5"	"North America"	"Hubbardston Nonsuch"	"PI"	862	"Hubbardston Nonsuch"	"11766"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"6.1834299943933697"	"10.860892610644299"	"299.13955211979101"	"160.88218407977001"	"13.1494372127407"	"9.0543787457432501"	"153.97293661976599"	"1.9106774342942501"	"2.1205049261811899"	"145.20850733794299"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"13.451070536485201"	"6.4067722042621398"	"289.13098236625399"	"10.2388638137969"	"281.76940226104801"	"2.1329989686990798"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"135.119295624214"
"Noel Deschamps"	173986	"4728"	2	"mama"	"Q8Q8"	2.72	4.2	"19 Oct. 2017, 24 Oct. 2019"	"7.8"	"France"	"Noel Deschamps"	"PI"	1026	"Noel Deschamps"	"151031"	"USDA"	"domestica"	"cider"	"France"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"154.07066152277"	"1.48878431956935"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"13.2"	"40.118000000000002"	"6.2515999999999998"	"NA"	"9.4610486289402207"	"2.6374169980436801"	"278.66023072724198"	"13.204076005184501"	"49.837736065151297"	"3.80195010692871"	"NA"	"39.519418171287803"	"-19.502764034957298"	"-52.654013824629999"	"NA"	"NA"	"NA"	"124.761277710982"
"Empire"	588842	"656"	2	"MaMa"	"Q8q8"	3.11	3.6	"19 Oct. 2018"	"7.3"	"North America"	"Empire"	"PI"	171	"Empire"	"3692"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"1966"	"2.8675999999999999"	"11"	"111.02800000000001"	"4.4509999999999996"	"3.8359603849909298"	"4.2039381035000902"	"18.04277710777"	"305.86923632928898"	"121.440081297765"	"11.9994659941237"	"6.2817862842194296"	"153.19765944148099"	"1.7218554539487501"	"2.9022400327548401"	"151.76065486548299"	"-31.787768292484799"	"-8.3292539402432695"	"-8.5738424962307906"	"-29.1443580119651"	"32.172402754357698"	"4.5292000000000003"	"11.3"	"95.707999999999998"	"5.5571999999999999"	"2.4949218405016298"	"11.337923366479499"	"8.1013057003969795"	"275.09435470194597"	"8.7945191293737608"	"145.23078999224899"	"1.3703083791508299"	"-44.092962696395197"	"-0.33448247314511398"	"-34.099373827610499"	"-36.810644013054599"	"82.070100311852002"	"1.5389455252434301"	"1.4611256628153"	"121.735396353967"
"Bella de Jardins"	105498	"96"	2	"Mama"	"Q8Q8"	3.12	3.7	"21 Sept. 2017, 27 Sept. 2018"	"7.8"	"France"	"Bella de Jardins"	"PI"	507	"Bella de Jardins"	"128375"	"USDA"	"domestica"	"NA"	"Spain"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"151.943019904397"	"1.0441135114085001"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"5.4672000000000001"	"9.5"	"128.74600000000001"	"4.0242000000000004"	"1.73763535264852"	"12.328510875108901"	"6.3048788106160298"	"257.38353961600501"	"7.2588055582451201"	"155.02716834767099"	"1.92481857184441"	"-13.286200032989701"	"-22.942842844220799"	"-16.952621032677101"	"-44.561126927707797"	"-9.7247201338319496"	"NA"	"NA"	"105.338673791837"
"Hudson's Golden Gem"	590157	"6528"	2	"Mama"	"q8q8"	3.14	4	"25 Oct. 2018"	"7.3"	"North America"	"Hudson's Golden Gem"	"PI"	765	"Hudson's Golden Gem"	"24859"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"1931"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"154.022252598422"	"2.04246405710373"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"2.5594000000000001"	"16.100000000000001"	"206.13399999999999"	"5.6825999999999999"	"6.2905368445729497"	"11.649308680653601"	"4.6431856114164596"	"275.08161700885898"	"11.450872541248501"	"245.46526598751799"	"2.4677073628783601"	"-44.878361233135699"	"38.205626113572002"	"-16.0231492750253"	"-50.374087393514699"	"154.91421467558499"	"NA"	"NA"	"120.97114158066699"
"Blahova Oranzova Renetor"	341067	"931"	2	"Mama"	"Q8q8"	3.15	4	"21 Sept. 2017, 05 Oct. 2018"	"7.9"	"Central Europe"	"Blahova Oranzova Renetor"	"PI"	509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Langworthy"	161851	"2505"	2	"Mama"	"Q8Q8"	3.61	3.6	"06 Oct. 2017"	"8"	"England"	"Langworthy"	"PI"	870	"Langworthy"	"139575"	"USDA"	"domestica"	"cider"	"United Kingdom"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"154.11293180034201"	"3.03476694108052"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Ben Davis"	588953	"106"	2	"Mama"	"q8q8"	3.64	3.7	"19 Oct. 2017, 14 Nov. 2018"	"7"	"North America"	"Ben Davis"	"PI"	535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Macoun"	589895	"1055.0999999999999"	2	"Mama"	"Q8Q8"	3.72	3.6	"17 Sept. 2018"	"5.7"	"North America"	"Macoun"	"PI"	1228	"Macoun"	"21865"	"Kentville"	"domestica"	"dessert"	"United States"	"new"	"1923"	"NA"	"NA"	"NA"	"NA"	"NA"	"5.0182054193519896"	"16.578054618427299"	"292.88820376921501"	"200.483992424853"	"12.7389200902089"	"6.5534718761252302"	"153.202409092485"	"1.6691241394148599"	"2.5983219309214598"	"139.576265907932"	"NA"	"NA"	"NA"	"NA"	"NA"	"5.8155999999999999"	"13.6"	"NA"	"NA"	"2.3385377261159599"	"11.960765097815401"	"8.0545270189119993"	"257.29531421197998"	"8.9446426903335094"	"127.350884967814"	"1.57390301628458"	"-27.797125934955702"	"13.705100708682901"	"NA"	"NA"	"48.582072841845601"	"1.75549222970857"	"2.34137161084529"	"103.315937217936"
"Macoun"	589895	"1055.0999999999999"	2	"Mama"	"Q8Q8"	3.72	3.6	"17 Sept. 2018"	"5.7"	"North America"	"Macoun"	"PI"	1229	"Macoun"	"21865"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"1923"	"3.6581999999999999"	"12.9"	"141.835555555556"	"4.4234444444444403"	"3.5263244218468102"	"4.6829137537091796"	"13.9463147372647"	"283.381208036337"	"173.08380278849401"	"11.7253874412649"	"6.29316169563735"	"153.755899227253"	"1.1458943166026001"	"2.48108702172564"	"129.526383385749"	"-21.881969380656201"	"10.017686533762699"	"-18.053825216171699"	"-29.710300507439101"	"42.128203927091199"	"NA"	"NA"	"NA"	"NA"	"NA"	"11.677547629412199"	"9.6953774237596999"	"254.19410913825499"	"8.9517774339823397"	"138.663397631686"	"1.1027342011447001"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"100.121506790498"
"Redstreak"	175543	"n/a"	2	"MaMa"	"Q8q8"	3.9	3.9	"25 Oct. 2018"	"7"	"England"	"Redstreak"	"PI"	1018	"Redstreak"	"152071"	"USDA"	"domestica"	"dessert"	"United Kingdom"	"old"	"1949"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"3.9142798002892101"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Pohorka"	588745	"2699"	2	"Mama"	"Q8q8"	3.93	3.6	"06 Oct. 2017"	"8"	"Former USSR"	"Pohorka"	"PI"	1027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Gewurzluiken"	132225	"315"	2	"Mama"	"Q8q8"	3.95	3.7	"29 Sept. 2017"	"8"	"Central Europe"	"Gewurzluiken"	"PI"	714	"Gewurzluiken"	"134066"	"USDA"	"domestica"	"dessert"	"Germany"	"old"	"NA"	"5.2527999999999997"	"13.6"	"166.67400000000001"	"5.8006000000000002"	"2.5890953396283898"	"6.0945018928076999"	"13.7392394782753"	"308.88811953102203"	"186.64288588225"	"12.585117881513399"	"7.8321055583002801"	"154.19545780823501"	"1.9784599363748201"	"2.0940321829664801"	"154.31008472641801"	"-13.810839796456801"	"8.0641447147458702"	"-10.698980455568"	"-25.938178988756601"	"23.641621207587399"	"7.6982999999999997"	"13.5"	"227.97399999999999"	"6.2459499999999997"	"1.7544416682745601"	"12.0233024583641"	"10.689270744936101"	"268.55885231590798"	"9.4575573586951407"	"243.39975336797701"	"1.1420806737784499"	"-27.9810551749102"	"12.281962852964901"	"-6.3376207882413196"	"-33.9581060615238"	"53.618015658226703"	"6.4075931673135198"	"7.2385861609721003"	"114.5945052695"
"Kingston Black"	589703	"632"	2	"Mama"	"Q8Q8"	3.97	3.8	"21 Sept. 2017, 07 Sept. 2018, 09 Oct. 2019"	"6.7"	"England"	"Kingston Black"	"PI"	750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
