"Accession name"	"PI (no.)"	"MUNQ (no.)z"	"Ploidy"	"Ma1"	"Q8"	"TA (g·L-1)"	"pH"	"Date(s) harvested"	"SPI"	"Region of origin"	"PLANTID.x"	"ACP"	"apple_id"	"PLANTID.y"	"ACCID"	"origin"	"species"	"use"	"country"	"world"	"release_year"	"acidity_16_stor"	"brix_16_stor"	"weight_avg_16_stor"	"firmness_avg_16_stor"	"brix_acid_16_stor"	"acidity_16_harv"	"juiciness_16_harv"	"date_jul_16_harv"	"weight_avg_16_harv"	"brix_avg_16_harv"	"firmness_avg_16_harv"	"flowering_jul_16_harv"	"precocity_16_harv"	"brix_acid_16_harv"	"time_ripen_16_harv"	"percent_acidity_16"	"percent_brix_16"	"percent_weight_16"	"percent_firmness_avg_16"	"percent_brix_acid_16"	"acidity_17_stor"	"brix_17_stor"	"weight_avg_17_stor"	"firmness_avg_17_stor"	"brix_acid_17_stor"	"brix_17_harv"	"acidity_17_harv"	"date_jul_17_harv"	"firmness_avg_17_harv"	"weight_avg_17_harv"	"brix_acid_17_harv"	"percent_acidity_17"	"percent_brix_17"	"percent_weight_avg_17"	"percent_firmness_avg_17"	"percent_brix_acid_17"	"tpc"	"frap"	"time_ripen_2017"
"Jefferis"	589185	"2865"	2	"Mama"	"Q8Q8"	3.98	3.7	"21 Sept. 2017, 07 Sept. 2018"	"5.8"	"North America"	"Jefferis"	"PI"	779	"Jefferis"	"11133"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"1848"	"4.8239999999999998"	"13"	"122.86"	"2.4283000000000001"	"2.6948590381426198"	"5.0635358501973498"	"4.4780546184272803"	"274.685241374464"	"157.50200984254499"	"11.4298715495707"	"4.4625073487379696"	"151.90873564133801"	"1.4928177409532299"	"2.2487678545066401"	"122.681946416388"	"-4.7306044093282003"	"13.737061205104"	"-21.994646212563701"	"-45.584403335789702"	"19.837138046152301"	"3.7654000000000001"	"10.3"	"62.558"	"4.7480000000000002"	"2.73543315451214"	"10.3991915603953"	"4.2468125850102103"	"239.15913636061899"	"7.5191011629656597"	"56.782808753954001"	"2.4152813521015801"	"-11.335856607127701"	"-0.95383915008416997"	"10.170668504741499"	"-36.854154544619703"	"13.2552591494978"	"3.7046177332480998"	"3.63445462612717"	"87.163384276825994"
"Lande"	162724	"67.2"	2	"Mama"	"Q8Q8"	4	3.7	"21 Sept. 2017, 12 Oct. 2018"	"6.3"	"France"	"Lande"	"PI"	789	"Lande"	"140211"	"USDA"	"domestica"	"NA"	"France"	"old"	"NA"	"3.149"	"13.9"	"115.514"	"6.7164000000000001"	"4.4140997141949798"	"4.1834299943933697"	"14.539825985256501"	"313.43197454026699"	"102.663925025807"	"12.3313816571851"	"10.641878044252699"	"161.110625628441"	"1.49707148649929"	"2.8689266433528999"	"152.50811486872999"	"-24.726838880528899"	"12.7205400531977"	"12.5166410411085"	"-36.887079779801802"	"53.8589257561582"	"3.7787999999999999"	"13.8"	"103.815"	"7.91"	"3.6519530009526799"	"11.3696428218976"	"6.9573601973832897"	"282.91333360895601"	"10.357776464628101"	"139.777256922866"	"1.68079657811195"	"-45.686296342379499"	"21.3758445728973"	"-25.728260601587898"	"-23.632258071867799"	"117.275133023827"	"3.37820904321977"	"3.1174483419931001"	"121.993183326021"
"Cortland"	588848	"503"	2	"Mama"	"Q8Q8"	4.1	3.6	"12 Oct. 2018"	"5"	"North America"	"Cortland"	"PI"	134	"Cortland"	"3780"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"1915"	"5.7619999999999996"	"13.5"	"166.07400000000001"	"4.1284999999999998"	"2.34293648038875"	"6.0383596056976403"	"16.6694736145358"	"299.37323293545001"	"225.019453989406"	"13.0620046318821"	"6.03196323484375"	"153.13184763040999"	"2.0356652897496001"	"2.1610306070836902"	"146.01802175493299"	"-4.5767331484675902"	"3.3532017516578501"	"-26.1957146123824"	"-31.556280446942399"	"8.4175519175335403"	"6.3917999999999999"	"14.4"	"NA"	"NA"	"2.25288651084202"	"13.077109179465999"	"8.7968262809046802"	"267.60653303275399"	"7.8016820902260298"	"243.785047443259"	"1.5241842045796701"	"-27.339704162685202"	"10.1160799560444"	"NA"	"NA"	"47.8093332861501"	"3.9486308179087102"	"4.2138497279395404"	"114.549001059622"
"Northern Spy"	588872	"23"	2	"Mama"	"Q8q8"	4.26	3.5	"06 Oct. 2017"	"8"	"North America"	"Northern Spy"	"PI"	136	"Northern Spy"	"4166"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"1840"	"6.1908000000000003"	"14"	"245.90100000000001"	"5.4012000000000002"	"2.2614201718679299"	"6.9618977598151197"	"16.612184677845999"	"310.31963569198803"	"266.38226358283299"	"13.018067016068199"	"6.0420953501893901"	"154.20978919878701"	"2.6596090949808802"	"1.84974782151091"	"157.02825749055901"	"-11.0759707542099"	"7.5428478184956402"	"-7.6886739031948403"	"-10.6071704109949"	"22.255593198685698"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"4.4837795859449896"	"4.4854027114632302"	"NA"
"Drap d'Or Guemene"	131823	"92"	2	"Mama"	"Q8q8"	4.31	3.7	"06 Oct. 2017, 05 Oct. 2018"	"7.6"	"France"	"Drap d'Or Guemene"	"PI"	536	"Drap d'Or Guemene"	"134022"	"USDA"	"domestica"	"NA"	"France"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"152.17062134417"	"1.50141769195356"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"American Summer Pearmain"	589214	"2986"	2	"Mama"	"q8q8"	4.41	3.6	"07 Sept. 2018"	"7.4"	"North America"	"American Summer Pearmain"	"PI"	394	"American Summer Pearmain"	"12112"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"2.8847650336789901"	"6.9608926106443096"	"253.278598620514"	"136.76734334328401"	"11.653734242200899"	"5.1821999015311597"	"152.98961968444101"	"1.07186498864561"	"3.8636299714107598"	"101.183788136877"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"56.87"	"4.6879999999999997"	"NA"	"13.6030512787347"	"3.4845491780682099"	"243.46091620459899"	"8.2511529930934504"	"79.8449321633598"	"3.99472424112875"	"NA"	"NA"	"-28.774440081374198"	"-43.183698036819301"	"NA"	"NA"	"NA"	"90.622958642360601"
"Golden Delicious"	590184	"65"	2	"Mama"	"Q8q8"	4.49	3.7	"21 Sept. 2017, 12 Oct. 2018"	"6.8"	"North America"	"Golden Delicious"	"PI"	222	"Golden Delicious"	"24944"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"1914"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"153.85444734518799"	"1.04490662184619"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"16.531082177238002"	"NA"	"274.76027550228298"	"8.6928835641589295"	"225.02316133765399"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"120.61233090328901"
"Pomme Raisin"	134669	"670"	2	"Mama"	"Q8Q8"	4.52	3.5	"15 Sept. 2017, 27 Sept. 2018"	"7.2"	"Central Europe"	"Pomme Raisin"	"PI"	972	"Pomme Raisin"	"134378"	"USDA"	"domestica"	"cider"	"Switzerland"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"151.97675338119001"	"2.9106774342942501"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"6.0434000000000001"	"10.199999999999999"	"92.13"	"5.9531999999999998"	"1.6877916404672899"	"9.7150856539875594"	"9.4473627511943103"	"267.75531767998802"	"7.9197011629656604"	"117.457092779042"	"1.0541029169982099"	"-36.030825118512503"	"4.9913543048733402"	"-21.562846635993999"	"-24.8304970414979"	"60.116399760437801"	"NA"	"NA"	"115.723385458954"
"Foxwhelp (misidentiﬁed)"	589318	"n/a"	2	"Mama"	"Q8Q8"	4.62	3.5	"21 Sept. 2017, 07 Sept. 2018, 09 Oct. 2019"	"7.6"	"England"	"Foxwhelp"	"PI"	869	"Foxwhelp"	"14598"	"USDA"	"domestica"	"cider"	"United Kingdom"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"153.89126212142"	"1.0390725110521399"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Golden Russet"	589892	"2862"	2	"Mama"	"Q8q8"	4.72	3.6	"25 Oct. 2018"	"5.7"	"n/a"	"Golden Russet"	"PI"	770	"Golden Russet"	"21846"	"USDA"	"domestica"	"cider"	"United States"	"new"	"NA"	"5.8959999999999999"	"19.8"	"144.042"	"8.0841999999999992"	"3.3582089552238799"	"5.4709677853241896"	"7.7608926106443104"	"309.45012990960498"	"184.83800768834499"	"17.1381884576974"	"8.9512488659665195"	"151.95731824241599"	"2.0749580483460499"	"3.0133231920702399"	"156.95972997940899"	"7.7688670698437399"	"15.531463835123599"	"-22.071222363060201"	"-9.6863452122655307"	"11.445362517410301"	"NA"	"NA"	"120.61799999999999"	"7.4645999999999999"	"NA"	"14.056957714057701"	"7.09338188074301"	"282.47679339516202"	"13.2707090296655"	"138.26688598188801"	"2.03359695296195"	"NA"	"NA"	"-12.764362093321401"	"-43.751309871133898"	"NA"	"3.9147309497140101"	"3.7513127639426198"	"130.48281797881401"
"Sunset"	589694	"164"	2	"Mama"	"Q8q8"	4.82	3.4	"17 Sept. 2018"	"6.5"	"England"	"Sunset"	"PI"	1195	"Sunset"	"19047"	"USDA"	"domestica"	"dessert"	"United Kingdom"	"old"	"1933"	"NA"	"NA"	"NA"	"NA"	"NA"	"6.2623420687772997"	"7.7856725701306004"	"289.42431131902998"	"121.214676927461"	"14.018055222408901"	"6.4344920602773099"	"151.86946900460501"	"1.0322737426936299"	"2.2749872599999899"	"137.484119062047"	"NA"	"NA"	"NA"	"NA"	"NA"	"8.1874000000000002"	"15.3"	"NA"	"NA"	"1.86872511419987"	"13.3838245620012"	"9.5496741737217299"	"260.90719888385502"	"8.6943701189464804"	"139.36239424930099"	"1.42191516696876"	"-14.2651377307758"	"14.317099190310101"	"NA"	"NA"	"31.423108608062702"	"NA"	"NA"	"108.806619859638"
"Reine des Pommes"	132571	"285"	2	"Mama"	"Q8Q8"	5.05	3.7	"19 Oct. 2017"	"8"	"France"	"Reine des Pommes"	"PI"	1072	"Reine des Pommes"	"134078"	"USDA"	"domestica"	"cider"	"France"	"old"	"1903"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"153.930159232927"	"1.01652880100029"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Marshall McIntosh"	588998	"508"	2	"Mama"	"Q8Q8"	5.16	3.5	"21 Sept. 2017, 17 Sept. 2018"	"6.6"	"North America"	"Marshall McIntosh"	"PI"	148	"Marshall McIntosh"	"6796"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"NA"	"8.6698000000000004"	"13.2"	"158.84200000000001"	"6.5319000000000003"	"1.52252647119887"	"8.8709677853241899"	"19.0898259852565"	"268.25326637134401"	"164.13627350619601"	"12.304855124364099"	"5.9616436291699797"	"152.97259424634001"	"1.4743678888718199"	"1.3598519070199999"	"116.110129583221"	"-2.2677095689265601"	"7.2747290934248996"	"-3.2255353390828301"	"9.5654219926831701"	"11.962667650726599"	"7.8255999999999997"	"11.7"	"160.96600000000001"	"3.8159999999999998"	"1.49509302801063"	"10.795992926266299"	"9.4535510845187893"	"250.884042346576"	"7.7681557749110599"	"164.94580171458901"	"1.21120704786454"	"-17.2205245411403"	"8.3735426644665605"	"-2.4127935802060501"	"-50.876371296201398"	"23.438270165832101"	"3.8115182760241502"	"3.8751230186262502"	"97.894509081488295"
"Red Ralls"	437047	"546"	2	"Mama"	"Q8Q8"	5.18	3.6	"19 Oct. 2017, 19 Oct. 2018"	"7.5"	"Central Europe"	"Red Ralls"	"PI"	1068	"Red Ralls"	"331983"	"USDA"	"domestica"	"dessert"	"Poland"	"old"	"NA"	"5.0785999999999998"	"13.8"	"143.98099999999999"	"6.806"	"2.7172842909463202"	"6.1172518177607698"	"12.369473614535799"	"309.56768564203401"	"158.607508765445"	"13.086410956014999"	"9.4330209644950997"	"155.43302694187699"	"2.4928177409532299"	"2.0986944198353599"	"153.82083819789901"	"-16.979059366906501"	"5.4529010771819699"	"-9.2218261791598195"	"-27.849200954635101"	"29.474985270103701"	"3.6983999999999999"	"13.2"	"NA"	"NA"	"3.5691109669046099"	"11.628074637226501"	"4.7521972328765996"	"285.31796487789001"	"9.4601050963155995"	"108.277847367921"	"2.4284752637459799"	"-22.174947318815601"	"13.5183632012568"	"NA"	"NA"	"46.969212336104803"	"2.6888221414676399"	"2.6058056356176702"	"129.82310112782"
"Hubbards Pearmain"	590130	"2476"	2	"Mama"	"Q8Q8"	5.24	3.6	"29 Sept. 2017, 27 Sept. 2018"	"7.8"	"England"	"Hubbards Pearmain"	"PI"	738	"Hubbards Pearmain"	"24688"	"USDA"	"domestica"	"dessert"	"United Kingdom"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"1.01458716679435"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Stembridge Cluster"	589692	"1454"	2	"Mama"	"Q8q8"	5.32	3.5	"29 Sept. 2017, 27 Sept. 2018, 09 Oct. 2019"	"7"	"England"	"Stembridge Cluster"	"PI"	1169	"Stembridge Cluster"	"19032"	"USDA"	"domestica"	"cider"	"United Kingdom"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"0.98958943766732799"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Esopus Spitzenburg"	588785	"522"	2	"Mama"	"Q8Q8"	5.33	3.5	"19 Oct. 2017, 19 Oct. 2018"	"7"	"North America"	"Esopus Spitzenburg"	"PI"	227	"Esopus Spitzenburg"	"2470"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"152.33604929140901"	"1.96163123178108"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"5.3465999999999996"	"14"	"118.746"	"6.0712000000000002"	"2.61848651479445"	"9.8009825160561004"	"6.8928118832905101"	"274.926506855208"	"10.9825676629025"	"138.72170396902101"	"1.4887567698325599"	"-22.4322367920532"	"42.842821901426902"	"-14.3998403980692"	"-44.719666781497502"	"75.884104633757602"	"NA"	"NA"	"123.043792873542"
"Bella di Pontoise"	102537	"87"	2	"Mama"	"Q8q8"	5.5	3.5	"19 Oct. 2018"	"6.3"	"France"	"Bella di Pontoise"	"PI"	569	"Bella di Pontoise"	"127885"	"USDA"	"domestica"	"dessert"	"France"	"old"	"1879"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"154.10137314386401"	"1.5347669417604899"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"10.200537702349701"	"6.6615400396479796"	"289.22970284394802"	"11.0730725884032"	"290.98572460739899"	"1.50005034039061"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"135.305145132326"
"Landsberger Reinette"	589565	"61"	2	"MaMa"	"Q8Q8"	5.56	3.5	"15 Sept. 2017, 16 Sept. 2018"	"7.4"	"Central Europe"	"Landsberger Reinette"	"PI"	747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Renetta Dorata"	104034	"38.1"	2	"Mama"	"Q8Q8"	5.63	3.5	"05 Oct. 2018"	"5.4"	"Southern Europe"	"Renetta Dorata"	"PI"	1056	"Renetta Dorata"	"128291"	"USDA"	"domestica"	"dessert"	"Italy"	"old"	"NA"	"8.8038000000000007"	"15.7"	"103.17100000000001"	"4.0635000000000003"	"1.78332083872873"	"8.6181896328499601"	"13.3463147372647"	"290.987759139856"	"123.23082759402099"	"13.288739269423401"	"7.1768702439959604"	"151.77873545744799"	"1.0314369405466299"	"1.58284144193822"	"138.823950020821"	"2.1537048389205702"	"18.145142903998199"	"-16.278254382991999"	"-43.380612135220801"	"12.665791498674601"	"NA"	"NA"	"NA"	"NA"	"NA"	"12.731082177237999"	"NA"	"274.76027550228298"	"9.7106835641589306"	"165.95116133765401"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"4.8852156908920801"	"5.2033796056938"	"122.61233090328901"
"Liberty"	588943	"585"	2	"Mama"	"Q8Q8"	5.72	3.4	"12 Oct. 2018"	"6.6"	"North America"	"Liberty"	"PI"	5	"Liberty"	"5016"	"Kentville"	"domestica"	"dessert"	"United States"	"new"	"1978"	"3.9127999999999998"	"13"	"139.53399999999999"	"5.0686499999999999"	"3.3961054104477602"	"5.7541962238421904"	"15.0732825903875"	"296.916628119699"	"156.10796309138999"	"12.0170464354172"	"6.60858198191952"	"151.96763688601499"	"0.92569595081614697"	"2.0980974753899102"	"145.08825890123401"	"-32.0009285782169"	"8.1796602007444505"	"-10.6169876047176"	"-23.302003154876999"	"61.865949999135701"	"6.4989999999999997"	"12.9"	"167.43"	"6.1086"	"1.98492075703954"	"11.3188589001333"	"11.1381778746071"	"271.58567713631999"	"9.5810894923923406"	"181.57600672882199"	"1.1042111946655799"	"-41.651138335504001"	"13.9690856986306"	"-7.7906805990885104"	"-36.243158934582503"	"79.759158993193395"	"4.5998817531104299"	"5.3093092869405698"	"119.58624425429601"
"Pomme Grise"	589242	"n/a"	2	"Mama"	"Q8q8"	5.79	3.5	"25 Oct. 2018"	"6.6"	"North America"	"Pomme Grise"	"PI"	1086	"Pomme Grise"	"12820"	"USDA"	"domestica"	"dessert"	"Europe"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"151.992542803557"	"2.0154441454552199"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"17.5"	"77.085999999999999"	"5.4672000000000001"	"NA"	"14.4080653367501"	"7.4341494047365799"	"268.44421087670702"	"10.319672541248501"	"97.171600464098503"	"1.96444809763012"	"NA"	"21.459749043221102"	"-20.6702373617068"	"-47.021574782075703"	"NA"	"NA"	"NA"	"116.517550406615"
"Arkansas Black"	589117	"44"	2	"Mama"	"Q8Q8"	5.8	3.5	"06 Oct. 2017, 02 Nov. 2018"	"6"	"North America"	"Arkansas Black"	"PI"	401	"Arkansas Black"	"9300"	"USDA"	"domestica"	"cider"	"United States"	"new"	"NA"	"4.7302"	"11.9"	"134.26900000000001"	"7.6257000000000001"	"2.51574986258509"	"4.6057514260710999"	"21.085672570130601"	"309.88351856288602"	"139.736597834995"	"11.708043028288801"	"10.210456184154101"	"154.07861117965001"	"1.04246405761155"	"2.5753859258476202"	"155.57728423206299"	"2.70202541162887"	"1.6395308015814101"	"-3.9127887179930401"	"-25.314796298381399"	"-2.3156165708602501"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"6.9263006308610704"	"6.8005960944181698"	"NA"
"Clear Heart"	206022	"2733"	2	"Mama"	"Q8Q8"	5.92	3.6	"07 Sept. 2018"	"7.1"	"Northern Europe"	"Clear Heart"	"PI"	408	"Clear Heart"	"172765"	"USDA"	"domestica"	"dessert"	"Ireland"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"159.03535507254401"	"2.9616312317810798"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"7.1824000000000003"	"12.1"	"80.092500000000001"	"4.2789999999999999"	"1.6846736466919101"	"11.700982516056101"	"9.5326118832905102"	"253.926506855208"	"8.2177676629024798"	"119.565703969021"	"1.3231386523073101"	"-24.654437965843801"	"3.4101194783973598"	"-33.013818058770703"	"-47.9298980510642"	"27.324044517492499"	"NA"	"NA"	"97.0437928735425"
"Teign Harvey"	175549	"2545"	2	"Mama"	"Q8Q8"	6	3.5	"21 Sept. 2017, 17 Sept. 2018, 20 Sept. 2019"	"6.6"	"England"	"Teign Harvey"	"PI"	1148	"Teign Harvey"	"152077"	"USDA"	"domestica"	"cider"	"United Kingdom"	"old"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"153.97017112868701"	"1.5583953069791401"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"7.9729999999999999"	"11.8"	"101.88200000000001"	"4.9610000000000003"	"1.47999498306785"	"10.720130024481399"	"9.4157696971611493"	"253.219279083808"	"9.0714312082274304"	"101.293218142841"	"1.0369438102277799"	"-15.3229076704812"	"10.073291770272499"	"0.58126483485668501"	"-45.311826919873802"	"42.726632674797202"	"NA"	"NA"	"99.245111219254895"
"Yellow Bellﬂower"	589195	"77"	2	"Mama"	"Q8q8"	6.07	3.6	"19 Oct. 2017, 12 Oct. 2018"	"8"	"North America"	"Yellow Bellflower"	"PI"	1167	"Yellow Bellflower"	"11371"	"USDA"	"domestica"	"dessert"	"United States"	"new"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"151.685783979174"	"1.00549994392398"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Cap of Liberty"	161830	"n/a"	2	"Mama"	"Q8q8"	6.13	3.5	"06 Oct. 2017, 10 Oct. 2019"	"7.8"	"England"	"Cap of Liberty"	"PI"	497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
